0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:38:39 +0800] "GET /stuGrademange/out.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:38:39 +0800] "GET /stuGrademange/login.jsp HTTP/1.1" 200 2285
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:39:35 +0800] "POST /stuGrademange/login_do.jsp HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:39:36 +0800] "GET /stuGrademange/index.jsp HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:39:36 +0800] "GET /stuGrademange/top.jsp HTTP/1.1" 200 2043
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:39:36 +0800] "GET /stuGrademange/left.jsp HTTP/1.1" 200 5185
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:39:37 +0800] "GET /stuGrademange/MylistGrade.jsp?action=Mylistgrade HTTP/1.1" 200 6595
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:39:55 +0800] "GET /stuGrademange/editstudentpwd.jsp?studentid=1 HTTP/1.1" 200 3633
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:39:57 +0800] "GET /stuGrademange/reply.jsp HTTP/1.1" 200 4410
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:39:58 +0800] "GET /stuGrademange/listreply.jsp HTTP/1.1" 200 4848
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:40:11 +0800] "GET /stuGrademange/glist.jsp?action=search&text=%E4%BD%A0%E5%A5%BD HTTP/1.1" 200 4928
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:41:02 +0800] "GET /stuGrademange/glist.jsp?action=search&curpage=2 HTTP/1.1" 200 5024
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:41:03 +0800] "GET /stuGrademange/glist.jsp?action=search&currentpage=1 HTTP/1.1" 200 4928
0:0:0:0:0:0:0:1 - - [14/Jan/2018:16:41:06 +0800] "GET /stuGrademange/listreply.jsp HTTP/1.1" 200 4848
0:0:0:0:0:0:0:1 - - [14/Jan/2018:17:01:33 +0800] "GET /stuGrademange/reply.jsp HTTP/1.1" 200 4410
0:0:0:0:0:0:0:1 - - [14/Jan/2018:17:01:33 +0800] "GET /stuGrademange/listreply.jsp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jan/2018:17:01:34 +0800] "GET /stuGrademange/listreply.jsp HTTP/1.1" 200 4748
0:0:0:0:0:0:0:1 - - [14/Jan/2018:17:02:09 +0800] "GET /stuGrademange/listreply.jsp HTTP/1.1" 200 4748
0:0:0:0:0:0:0:1 - - [14/Jan/2018:17:02:11 +0800] "GET /stuGrademange/editstudentpwd.jsp?studentid=1 HTTP/1.1" 200 3633
0:0:0:0:0:0:0:1 - - [14/Jan/2018:17:02:14 +0800] "GET /stuGrademange/out.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2018:17:02:14 +0800] "GET /stuGrademange/login.jsp HTTP/1.1" 200 2285
